Date,规模以上工业增加值:当月同比,中国:日均产量:生铁:重点企业,中国:日均产量:粗钢:重点企业,重点电厂:日耗量:煤炭,中国:开工率:聚酯产业链:精对苯二甲酸,中国:开工率:聚酯产业链:对二甲苯,中国:开工率:聚酯产业链:聚酯,中国:开工率:聚酯产业链:织造业,中国:开工率:聚酯产业链:乙二醇(综合),开工率:PTA装置,中国:主要45港口:日均疏港量:铁矿石,中国:生产率:焦炉:国内独立焦化厂(230家),中国:高炉开工率(247家),中国:产量:螺纹钢:主要钢厂,中国:开工率:线材:主要钢厂,中国:产量:线材:主要钢厂,中国:产量:冷轧板卷:主要钢厂,中国:产量:热轧板卷:主要钢厂,中国:产量:中厚板:主要钢厂,中国:产量:钢材:重点钢铁企业,中国:开工率:产能(>200万吨):焦化企业(230家),中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率(常减压开工率):山东地炼厂,中国:产能利用率:成品油:独立炼厂,中国:产能利用率:成品油:主营炼厂,中国:开工率:精对苯二甲酸,中国:江浙地区:开工率:涤纶长丝,中国:装置负荷率:涤纶短纤,社会库存:PTA:期末值,港口库存:MEG(乙二醇):华东地区:期末值,聚酯瓶片:企业开工负荷:当周值,中国:产量:乙烯,中国:开工率:乙烯,PVC:开工率:当周值,工厂库存:PP粉:当周环比,库存:PP:国内:当周环比,社会库存:PVC:同比,中国:产能利用率:水泥熟料,制造业PMI,制造业PMI:生产,制造业PMI:新订单,制造业PMI:新出口订单,制造业PMI:从业人员,规模以上工业发电量:当月同比,月产量:PTA:中国:环比
2020-04-10,,178.38,194.58,,83.67500000000001,77.34,82.8125,51.25,65.8275,83.67500000000001,304.18,75.18,78.88,0.06388321311936274,-0.009529553950573977,0.047578924131643774,79.33,310.11,0.04894321655795242,1823.23,81.42,67.72,68.39,,,0.09108087704938761,78.13,82.65,,,,,,,-60.5684,-14.4404,4.157599999999999,69.61,,,,,,,
2020-04-17,-1.1,,,,84.83000000000001,79.55,84.862,57.0,60.884,84.83000000000001,304.04,75.5,80.51,0.053543096982587635,0.0,0.03232369965943516,79.61,309.36,0.055232364555812374,,81.4,67.21,69.05,,,0.03201355441694531,80.72,89.36,,,,,,,22.8829,-11.3572,1.721300000000003,82.25,,,,,,,
2020-04-24,,178.16,195.15,,82.782,79.55,84.404,52.0,55.465999999999994,83.30499999999999,305.76,77.62,80.51,0.04007843160773206,-0.00901719365018927,-0.009594668199140344,80.01,312.52,0.006912032380274269,1877.34,84.22,68.21,70.6,,,-0.017457918767449954,84.03,87.51,,,,,,,-3.1525,3.4797,1.5608000000000004,81.76,50.8,53.7,50.2,33.5,50.2,4.8999999999999995,12.831906956
2020-05-01,,183.8,201.2,,85.146,79.55,84.668,50.0,60.04,85.146,318.51,78.5,80.97,0.00343580555590961,0.01839854456232981,0.013487290564047072,79.29,301.16,0.004456032447899716,2042.03,85.13,69.57,71.54,,,0.030244689105870748,86.17,87.51,,,,,,,-18.1681,-9.8465,-3.123700000000003,82.83,,,,,,,
2020-05-08,,,,,84.0,79.55,86.46,54.666666666666664,55.04333333333333,84.0,316.64,79.85,88.3,0.028777975703930814,0.008706614433426019,0.026114596766949383,74.09,293.75,0.030648338053556934,,87.4,69.6,72.06,,,0.0065502417607188335,87.84,87.51,,,,,,,13.2285,19.8929,-2.464199999999998,83.58,,,,,,,
2020-05-15,3.9,184.87,205.17,,83.96833333333333,79.55,86.265,59.666666666666664,52.22833333333333,83.98,300.53,80.5,89.86,0.03238944481885042,-0.009151355379160009,0.02754711449842162,72.85,307.59,0.00153357462414494,1913.14,88.51,69.76,73.3,,,-0.018560743693094572,88.7,87.59,,,,,,,25.2451,-4.2119,-1.067700000000002,83.98,,,,,,,
2020-05-22,,186.9,208.04,,81.72200000000001,79.10799999999999,87.866,64.4,54.81,81.97999999999999,308.23,77.13,90.51,0.026531561028413364,0.043380995063719396,-0.01258521098722376,71.39,308.25,7.296873293061168e-05,1959.61,83.4,69.2,74.27,,,-0.016091530588319358,88.7,87.59,,,,,,,-3.7834,-11.7422,-2.0686,84.19,,,,,,,
2020-05-29,,,,,80.69,77.536,87.18,68.0,54.48199999999999,80.69,302.02,78.32,91.05,0.006949333672829461,-0.008985298988992696,0.0349339126396071,69.71,307.73,0.015494083490514399,,84.79,70.58,74.39,,,-0.02891464791954057,87.61,87.59,,,,,,,5.0169,-3.7743,-2.9198999999999984,83.15,50.6,53.2,50.9,35.3,49.4,4.0,2.486993728
2020-06-05,,185.59,209.25,,80.41999999999999,77.83,87.724,69.8,53.846000000000004,80.23333333333333,314.15,78.36,91.05,0.002761208072191046,-0.008488648914554808,-0.027057587222676815,71.42,313.09,0.00344259107837086,2275.27,84.54,69.11,75.15,,,-0.001857010747213117,87.49,87.59,,,,,,,10.071,-6.9229,-6.3338,72.13,,,,,,,
2020-06-12,,188.13,210.92,,80.27,77.83,88.496,67.4,55.370000000000005,80.27,296.24,78.82,91.69,0.00801233846238869,0.017473947903547504,0.012361096823573448,75.53,319.7,-0.0015046755248153687,1980.41,85.05,69.63,75.48,,,-0.024460297570160883,88.32,87.59,,,,,,,11.0264,-0.5689,-9.2667,64.27,,,,,,,
2020-06-19,4.4,,,,81.02799999999999,77.83,89.084,64.6,58.715999999999994,81.02799999999999,310.22,79.82,91.53,-0.005460575477962415,0.0,-0.009494944101965608,76.41,324.11,0.005648722609941537,,86.03,72.57,74.88,,,0.026317308317374,88.04,88.62,,,,,,,14.2102,-4.8103,-4.886,73.88,,,,,,,
2020-06-26,,191.13,214.23,,86.89333333333333,77.83,88.81666666666666,63.333333333333336,59.62,86.89333333333333,319.74,80.34,91.81,0.010242338817143093,0.016755055812967434,0.029330923816476506,77.47,327.53,-0.008089674356778431,2075.77,86.99,72.11,74.73,,,,87.4,88.62,,,,,,,48.3811,-7.7026,-0.7229000000000001,73.06,50.9,53.9,51.4,42.6,49.1,2.2,-5.564912114
2020-07-03,,191.52,214.21,,86.29833333333333,75.98,88.88999999999999,61.0,59.776666666666664,86.29833333333333,315.29,80.34,91.0,0.0006741152492972802,-0.02574035480196013,0.003144947555603572,78.03,328.09,-0.017401831238692544,2133.62,86.24,73.52,75.21,,,,88.13,89.99,,,,,,,0.2182,8.3213,-5.581199999999999,76.49,,,,,,,
2020-07-10,,191.73,213.07,,87.44,76.905,88.38,60.5,57.9625,86.97200000000001,316.07,79.79,90.61,-0.030794277851333263,-0.008488648914554808,-0.029681331604874295,78.29,321.19,-0.0016104241823207133,1980.03,85.59,72.81,74.38,-0.02012876743061387,,0.009321197254394953,87.82,88.22,,,,,,,-9.0202,,-3.7513000000000005,75.99,,,,,,,
2020-07-17,4.8,,,,81.635,77.83,87.63,60.0,59.065,81.932,310.68,79.86,90.77,-0.014649522393862746,-0.04370989598744046,-0.017659938131118658,78.67,325.64,0.012160196443563365,,85.65,73.19,73.47,-0.018657257604542288,,-0.01690943231814135,87.27,88.22,,,,,,,-7.4188,6.4128,-4.2768,69.25,,,,,,,
2020-07-24,,190.92,213.84,,83.63,77.83,88.03599999999999,58.4,54.488,83.63,280.29,79.99,91.03,0.00015670296984193754,0.04428768020111651,0.010531144654143176,78.71,330.21,0.01015310252042756,2039.36,85.65,74.0,72.74,0.012953549000391362,,-0.0009099181701506254,87.01,88.22,,,,,,,-6.7578,3.4317,5.439500000000001,65.96,,,,,,,
2020-07-31,,192.97,217.24,,83.64,77.83,88.624,56.4,53.529999999999994,83.5575,310.81,80.0,91.16,0.012354166990063753,0.0,0.04337637861490684,79.03,326.39,-0.002079822889065497,2397.93,85.52,74.43,73.83,0.0034261275484217535,,-0.0028488424486505792,86.86,88.22,,,,,,,-5.1089,-17.0544,-0.9945000000000004,60.96,51.1,54.0,51.7,48.4,49.3,-4.6,8.645851649
2020-08-07,,,,,83.516,77.83,88.20400000000001,58.0,52.342,83.2275,315.8,80.19,91.42,-0.007924423185514229,-0.017774360710478554,-0.03681856056977928,79.76,335.08,-0.022140054345507032,,87.33,71.11,75.41,0.003556444462708974,,-0.022737432880534314,86.58,86.3,,,,,,,-7.6377,13.7073,-1.4184999999999999,76.65,,,,,,,
2020-08-14,4.8,191.7,215.34,,77.19800000000001,77.83,88.48800000000001,60.8,52.064,77.19800000000001,328.42,80.4,91.95,0.005108866028272985,0.017774360710478554,0.014552812979786722,80.31,335.63,0.013053016481054058,1998.98,87.75,70.76,74.89,0.003968259175620936,,-0.02925882389142842,86.38,86.3,,,,,,,9.8057,3.7967,4.829599999999999,78.05,,,,,,,
2020-08-21,,190.63,216.1,,84.7125,77.83,89.43,64.0,54.055,84.348,327.27,81.38,91.39,-0.004433102519776355,-0.009139107637143873,-0.006399821065397049,80.54,329.62,-0.009097257165536554,2067.86,87.48,74.44,73.29,-0.002691029171577597,,0.014914074684323708,86.38,87.07,,,,,,,-20.8642,-4.4637,4.0886000000000005,77.31,,,,,,,
2020-08-28,,,,,81.976,77.83,88.666,64.8,55.882000000000005,81.976,310.59,81.44,91.39,-0.011392859052942406,0.009283501543972505,0.02240711160972708,80.7,330.05,0.004377013115785644,,87.42,75.04,73.41,-0.01601177881949223,,0.037310388387123083,86.38,87.07,,,,,,,-22.3921,-4.218,0.0,69.15,51.0,53.5,52.0,49.1,49.4,4.9,-3.784708575
2020-09-04,,192.59,216.02,,80.4,77.314,89.114,68.4,57.474000000000004,79.578,325.63,81.0,91.39,0.004457620722579492,0.008339372557070845,-0.012324045128033312,79.94,330.1,0.027709762274449545,2412.99,86.9,74.59,72.83,0.0011522397933321216,,-0.014248201513935577,86.38,86.88,,,,,,,-15.9743,-15.3342,1.1646999999999998,63.61,,,,,,,
2020-09-11,,189.62,213.66,,80.46,78.446,89.74,70.1,59.914,80.46,313.76,82.01,90.87,-0.028609015349169375,0.00841239722597198,0.017725813833453508,80.56,337.63,-0.007176639321626155,1999.3,88.04,75.71,72.28,0.0018695626355844652,,-0.007200960268433754,87.54,90.12,,,,,,,7.7352,15.2307,5.3805,79.22,,,,,,,
2020-09-18,5.6,,,,82.846,79.43,89.348,70.5,60.965999999999994,82.846,317.69,81.66,90.62,0.003359631182028977,0.008483014252399279,0.008958831288158109,80.69,339.38,-0.0030711019388496297,,87.94,75.04,72.98,0.005873521648732449,,0.008357564607408996,87.42,90.12,,,,,,,7.698,4.4213,-1.1851,78.74,,,,,,,
2020-09-25,,189.56,214.56,,86.298,81.518,88.94800000000001,70.6,62.45,86.3025,312.81,81.25,89.04,0.010250750446769707,-0.009051115389678621,-0.0027948253200280604,80.69,335.47,-0.035012128178974145,2045.22,86.84,76.08,73.01,-0.00014284693974708773,,0.03375512242964618,87.16,91.33,,,,,,,-10.378,-13.5668,12.6594,81.9,51.5,54.0,52.8,50.8,49.6,-1.5,0.223471742
2020-10-02,,190.19,218.87,,85.9825,82.91,89.2025,71.0,63.3275,85.9825,292.73,81.66,88.52,-0.006314211922833657,-0.016761369412841454,-0.014771498397871063,80.69,340.26,0.010537660605837829,2215.23,87.13,76.34,71.82,,,-0.01792910404537551,86.77,91.33,,,,,,,-27.0706,-8.7458,6.9168,,,,,,,,
2020-10-09,,,,,83.73,83.19,87.73,71.0,63.1,83.73,317.77,,89.21,-0.03669237478592535,0.008917073324148816,-0.0271005726918343,80.35,335.59,0.018303823038161582,,,,,,,0.002613489357589316,,,,,,,,,129.3375,78.4429,-4.866100000000001,82.95,,,,,,,
2020-10-16,,192.25,217.03,,82.81333333333333,83.19,88.11666666666667,76.0,62.52,82.81333333333333,311.93,82.29,88.39,-0.003249145445790802,0.01689541147837126,0.013485616182055793,79.31,324.04,0.011805667827081479,2036.83,87.87,76.27,70.94,0.008697566770061727,,-0.009578180409327786,84.83,94.53,,,,,,,-2.9344,-27.2799,1.6470000000000002,82.27,,,,,,,
2020-10-23,6.9,192.78,217.33,,79.85,83.19,88.006,81.1,61.50600000000001,79.85,308.38,82.82,88.27,-0.0015867495847841084,0.0,0.028386454907649572,78.98,320.6,-0.02521020864400736,2076.56,89.14,75.36,70.64,-0.0072665419122301955,,-0.0529348552042288,86.32,91.51,,,,,,,-29.5701,-0.0217,-2.6531000000000002,71.76,,,,,,,
2020-10-30,,,,,79.272,83.19,88.292,82.2,62.477999999999994,79.272,313.13,83.0,87.48,0.012789101649438805,0.008272041560568155,0.01335649747380696,79.77,320.83,-0.0026294661268186914,,88.42,76.12,70.97,-0.011361307222297334,,-0.009955162949887075,86.92,93.44,,,,,,,-4.3595,-13.8215,-3.4152999999999984,72.88,51.4,53.9,52.8,51.0,49.3,-0.7000000000000002,2.999352658
2020-11-06,,188.79,215.66,,81.116,82.99,88.508,84.9,64.058,81.116,319.94,82.79,86.44,-0.011870150303111338,-0.03422900371651494,-0.02117476353796377,82.17,327.02,0.011995345749674868,2357.11,87.94,75.36,70.76,0.006487444363280304,,0.04251894334609041,87.35,93.44,,,,,,,20.3366,0.5279,-6.4344,73.41,,,,,,,
